country,release_year,show_id,type,title,director,cast,date_added,rating,duration,listed_in,description
United Arab Emirates,2002,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,2006,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,2009,2,2,2,2,2,2,2,2,2,2
United Arab Emirates,2012,2,2,2,2,2,2,2,2,2,2
United Arab Emirates,2014,5,5,5,5,5,5,5,5,5,5
United Arab Emirates,2015,4,4,4,4,4,4,4,4,4,4
United Arab Emirates,2016,5,5,5,5,4,5,5,5,5,5
United Arab Emirates,2017,3,3,3,3,3,3,3,3,3,3
United Arab Emirates,2018,6,6,6,6,6,6,6,6,6,6
United Arab Emirates,2019,4,4,4,4,3,4,4,4,4,4
United Arab Emirates,2020,1,1,1,0,1,1,1,1,1,1
United Kingdom,1944,1,1,1,1,1,1,1,1,1,1
United Kingdom,1962,1,1,1,1,1,1,1,1,1,1
United Kingdom,1965,1,1,1,1,1,1,1,1,1,1
United Kingdom,1968,1,1,1,1,1,1,1,1,1,1
United Kingdom,1971,1,1,1,1,1,1,1,1,1,1
United Kingdom,1972,1,1,1,0,1,1,1,1,1,1
United Kingdom,1974,1,1,1,0,1,1,1,1,1,1
United Kingdom,1975,1,1,1,1,1,1,1,1,1,1
United Kingdom,1977,2,2,2,1,2,2,2,2,2,2
United Kingdom,1979,1,1,1,1,1,1,1,1,1,1
United Kingdom,1982,2,2,2,2,2,2,2,2,2,2
United Kingdom,1986,1,1,1,1,1,1,1,1,1,1
United Kingdom,1989,2,2,2,2,2,2,2,2,2,2
United Kingdom,1991,2,2,2,2,2,2,2,2,2,2
United Kingdom,1992,6,6,6,5,6,6,6,6,6,6
United Kingdom,1993,3,3,3,2,3,3,3,3,3,3
United Kingdom,1994,3,3,3,3,2,3,3,3,3,3
United Kingdom,1995,1,1,1,1,1,1,1,1,1,1
United Kingdom,1996,1,1,1,1,1,1,1,1,1,1
United Kingdom,1997,3,3,3,3,3,3,3,3,3,3
United Kingdom,1998,2,2,2,2,2,2,2,2,2,2
United Kingdom,1999,3,3,3,2,3,3,3,3,3,3
United Kingdom,2000,3,3,3,3,3,3,3,3,3,3
United Kingdom,2001,4,4,4,4,4,4,4,4,4,4
United Kingdom,2002,4,4,4,4,4,4,4,4,4,4
United Kingdom,2003,2,2,2,2,2,2,2,2,2,2
United Kingdom,2004,3,3,3,2,3,3,3,3,3,3
United Kingdom,2005,10,10,10,8,9,10,10,10,10,10
United Kingdom,2006,8,8,8,6,8,8,8,8,8,8
United Kingdom,2007,9,9,9,8,9,9,9,9,9,9
United Kingdom,2008,13,13,13,10,12,13,13,13,13,13
United Kingdom,2009,16,16,16,11,16,16,16,16,16,16
United Kingdom,2010,17,17,17,12,16,17,17,17,17,17
United Kingdom,2011,21,21,21,12,19,21,21,21,21,21
United Kingdom,2012,22,22,22,16,22,22,22,22,22,22
United Kingdom,2013,27,27,27,18,23,26,27,27,27,27
United Kingdom,2014,42,42,42,33,39,42,42,42,42,42
United Kingdom,2015,63,63,63,46,56,63,63,63,63,63
United Kingdom,2016,98,98,98,65,77,98,98,98,98,98
United Kingdom,2017,101,101,101,64,86,101,101,101,101,101
United Kingdom,2018,90,90,90,54,80,90,90,90,90,90
United Kingdom,2019,59,59,59,30,47,59,59,59,59,59
United Kingdom,2020,68,68,68,31,57,68,68,68,68,68
United Kingdom,2021,2,2,2,0,2,2,2,2,2,2
"United Kingdom,",2014,1,1,1,1,0,1,1,1,1,1
United States,1942,2,2,2,2,1,2,2,2,2,2
United States,1943,3,3,3,3,0,3,3,3,3,3
United States,1944,3,3,3,3,1,3,3,3,3,3
United States,1945,3,3,3,3,1,3,3,3,3,3
United States,1946,2,2,2,2,1,2,2,2,2,2
United States,1947,1,1,1,1,1,1,1,1,1,1
United States,1954,1,1,1,1,1,1,1,1,1,1
United States,1955,1,1,1,1,1,1,1,1,1,1
United States,1956,1,1,1,1,1,1,1,1,1,1
United States,1958,2,2,2,2,2,2,2,2,2,2
United States,1960,2,2,2,2,2,2,2,2,2,2
United States,1962,2,2,2,2,2,2,2,2,2,2
United States,1963,1,1,1,0,1,1,1,1,1,1
United States,1965,2,2,2,2,2,2,2,2,2,2
United States,1967,4,4,4,3,4,4,4,4,4,4
United States,1968,5,5,5,4,4,5,5,5,5,5
United States,1969,1,1,1,1,1,1,1,1,1,1
United States,1971,3,3,3,3,3,3,3,3,3,3
United States,1972,1,1,1,1,1,1,1,1,1,1
United States,1973,5,5,5,5,5,5,5,5,5,5
United States,1974,3,3,3,3,3,3,3,3,3,3
United States,1976,5,5,5,5,5,5,5,5,5,5
United States,1977,3,3,3,3,3,3,3,3,3,3
United States,1978,2,2,2,2,2,2,2,2,2,2
United States,1979,3,3,3,3,3,3,3,3,3,3
United States,1980,3,3,3,3,3,3,3,3,3,3
United States,1981,3,3,3,3,3,3,3,3,3,3
United States,1982,2,2,2,2,2,2,2,2,2,2
United States,1983,1,1,1,1,1,1,1,1,1,1
United States,1984,3,3,3,3,3,3,3,3,3,3
United States,1985,2,2,2,1,2,2,2,2,2,2
United States,1986,6,6,6,5,6,6,6,6,6,6
United States,1987,6,6,6,6,6,6,6,6,6,6
United States,1988,13,13,13,11,12,13,13,13,13,13
United States,1989,7,7,7,6,7,7,7,7,7,7
United States,1990,12,12,12,10,11,12,12,12,12,12
United States,1991,11,11,11,10,11,11,11,11,11,11
United States,1992,9,9,9,8,9,9,9,9,9,9
United States,1993,13,13,13,9,12,13,13,13,13,13
United States,1994,6,6,6,6,6,6,6,6,6,6
United States,1995,11,11,11,10,11,11,11,11,11,11
United States,1996,13,13,13,11,13,13,13,13,13,13
United States,1997,23,23,23,19,23,23,23,23,23,23
United States,1998,17,17,17,14,17,17,17,17,17,17
United States,1999,19,19,19,15,19,19,19,19,19,19
United States,2000,24,24,24,21,24,24,24,24,24,24
United States,2001,20,20,20,18,19,20,20,20,20,20
United States,2002,26,26,26,24,26,26,26,26,26,26
United States,2003,28,28,28,23,28,26,28,28,28,28
United States,2004,23,23,23,21,23,23,23,23,23,23
United States,2005,36,36,36,29,36,36,36,36,36,36
United States,2006,40,40,40,34,39,40,40,40,40,40
United States,2007,45,45,45,39,43,45,45,45,45,45
United States,2008,58,58,58,50,58,58,58,58,58,58
United States,2009,63,63,63,55,63,63,63,63,63,63
United States,2010,72,72,72,63,67,72,71,72,72,72
United States,2011,74,74,74,57,72,74,74,74,74,74
United States,2012,90,90,90,76,85,89,90,90,90,90
United States,2013,103,103,103,87,96,103,103,103,103,103
United States,2014,123,123,123,103,113,123,123,123,123,123
United States,2015,199,199,199,159,182,198,198,199,199,199
United States,2016,333,333,333,272,288,332,333,333,333,333
United States,2017,437,437,437,351,369,437,436,437,437,437
United States,2018,441,441,441,294,374,440,441,441,441,441
United States,2019,427,427,427,251,364,427,427,427,427,427
United States,2020,377,377,377,181,313,377,377,377,377,377
United States,2021,16,16,16,3,12,16,16,16,16,16
"United States,",2018,1,1,1,1,0,1,1,1,1,1
Uruguay,2004,1,1,1,1,1,1,1,1,1,1
Uruguay,2015,2,2,2,2,1,2,2,2,2,2
Uruguay,2017,3,3,3,3,1,3,3,3,3,3
Uruguay,2018,3,3,3,3,3,3,3,3,3,3
Uruguay,2019,4,4,4,3,3,4,4,4,4,4
Uruguay,2020,1,1,1,1,1,1,1,1,1,1
Vatican City,2018,1,1,1,1,1,1,1,1,1,1
Venezuela,2007,1,1,1,1,0,1,1,1,1,1
Venezuela,2016,1,1,1,1,0,1,1,1,1,1
Venezuela,2017,1,1,1,1,1,1,1,1,1,1
Vietnam,2014,1,1,1,1,1,1,1,1,1,1
Vietnam,2015,1,1,1,1,1,1,1,1,1,1
Vietnam,2016,1,1,1,1,1,1,1,1,1,1
Vietnam,2019,1,1,1,1,1,1,1,1,1,1
Vietnam,2020,1,1,1,1,1,1,1,1,1,1
West Germany,1971,1,1,1,1,1,1,1,1,1,1
West Germany,1972,1,1,1,0,1,1,1,1,1,1
West Germany,1977,1,1,1,1,0,1,1,1,1,1
West Germany,1985,1,1,1,1,1,1,1,1,1,1
West Germany,1986,1,1,1,0,1,1,1,1,1,1
Zimbabwe,2014,1,1,1,1,0,1,1,1,1,1
Zimbabwe,2017,2,2,2,2,1,2,2,2,2,2
